[[-379.5528884105123], [276.6585367339648], [84.20501548211769]]
[[-379.5491415303544], [276.0922136983207], [84.2052459888605]]
[[-379.54539473615705], [275.52590365519023], [84.20547649031516]]
[[-379.5416480279172], [274.9596066041265], [84.20570698648169]]
[[-379.5379014056319], [274.3933225446824], [84.20593747736018]]
[[-379.5341548692983], [273.8270514764108], [84.2061679629511]]
[[-379.5304084189132], [273.2607933988649], [84.20639844325444]]
[[-379.52666205447383], [272.6945483115972], [84.20662891827055]]
[[-379.52291577597725], [272.1283162141612], [84.20685938799943]]
[[-379.51916958342025], [271.56209710610955], [84.2070898524413]]
[[-379.51542347680015], [270.9958909869954], [84.20732031159639]]
[[-379.51167745611394], [270.42969785637206], [84.20755076546482]]
[[-379.50793152135856], [269.8635177137923], [84.2077812140468]]
[[-380.1515354478964], [269.5784205709858], [83.16269610891459]]
[[-380.14777815377846], [269.01164372172906], [83.16293880127489]]
[[-380.1440209459413], [268.44487988768344], [83.16318148806204]]
[[-380.1402638243822], [267.8781290684008], [83.16342416927637]]
[[-380.1365067890979], [267.31139126343265], [83.16366684491788]]
[[-380.1327498400855], [266.744666472331], [83.16390951498704]]
[[-380.1289929773419], [266.1779546946472], [83.16415217948384]]
[[-380.1252362008645], [265.6112559299334], [83.16439483840838]]
[[-380.12147951065003], [265.04457017774115], [83.16463749176114]]
[[-380.11772290669546], [264.47789743762246], [83.16488013954222]]
[[-380.11396638899816], [263.91123770912907], [83.16512278175162]]
[[-380.11020995755484], [263.3445909918127], [83.16536541838968]]
[[-380.1064536123626], [262.7779572852254], [83.16560804945664]]
[[-380.10269735341853], [262.2113365889191], [83.16585067495271]]
[[-380.0989411807195], [261.6447289024456], [83.16609329487778]]
[[-380.09518509426294], [261.0781342253568], [83.16633590923254]]
[[-380.0914290940455], [260.5115525572048], [83.16657851801665]]
[[-380.08767318006437], [259.94498389754165], [83.16682112123067]]
[[-380.0839173523164], [259.37842824591917], [83.1670637188746]]
